LiTMO2,Li2MnO3
12.37788915,18.69741731
12.40870937,18.74420844
18.61247952,20.78834189
18.65905428,20.84047676
24.90322772,21.71883015
24.96598794,21.77335441
31.27127191,24.2047117
31.35082352,24.26565708
36.25313076,28.10051402
36.34618367,28.1716463
36.81246215,32.8191962
36.90705409,32.90290496
37.74007041,36.86300484
37.83722583,36.95773609
38.44850169,36.98368662
38.54762449,37.07875068
41.05223042,37.85080209
41.15865896,37.94826447
44.48510921,37.91726783
44.60136425,38.01491455
44.33633733,38.56676522
44.45216164,38.66621727
48.61377523,38.63436797
48.74217533,38.73400835
51.09130335,42.3033583
51.22718192,42.41334148
53.32980727,42.69531144
53.47257744,42.80641438
58.04248835,43.63115016
58.20022746,43.74493894
58.55620247,44.27117423
58.71561398,44.38681002
64.2469331,44.48387333
64.42546833,44.6001248
65.21358222,44.75036529
65.395483,44.86738947
65.579789,46.62137729
65.76297432,46.74386922
65.23630214,48.74533081
65.41828246,48.87412425
66.67214609,48.95363838
66.85919495,49.0830555
68.47323661,49.58301601
68.66676354,49.71432385
70.38473583,49.74364868
70.58529222,49.87544062
70.95824222,53.73168465
71.16094002,53.87570631
72.73203689,55.83447823
72.94145668,55.98512252
74.10018654,56.90150493
74.31489714,57.05555922
76.95894534,57.33924334
77.18502864,57.49470654
77.30048544,57.42531756
77.5279576,57.58105849
76.98011934,58.09647522
77.20628856,58.25438969
77.87574084,58.33023802
78.10556737,58.48891286
78.32241199,58.58234055
78.55407991,58.74183737
,58.56883203
,58.72828476
,58.61824843
,58.7778625
,58.93538559
,59.09603695
,60.31005958
,60.47524539
,60.57372553
,60.73978829
,62.61802422
,62.79096823
,62.85972222
,63.03348966
,63.06114682
,63.23560211
,63.27090914
,63.44608234
,64.44474099
,64.62396198
,64.74533717
,64.92560315
,65.42551934
,65.60816288
,65.53853117
,65.72157151
,66.48440092
,66.6707823
,66.65534842
,66.8423375
,68.5861414
,68.78007904
,68.8051814
,68.9999174
,68.83229265
,69.02712761
,68.8195805
,69.01436906
,69.72773829
,69.92586012
,70.18514768
,70.38496239
,70.67197823
,70.87360524
,74.65596988
,74.87285718
,74.87864535
,75.09640929
,75.19109321
,75.41009165
,76.82009816
,77.04561874
,77.08254135
,77.30912648
,77.50952089
,77.73784636
,77.57204438
,77.80062557
,77.63413732
,77.86297269
,77.94927221
,78.17940106
,78.28871736
,78.52024596
,78.41790675
,78.64996987
,78.44615795
,78.6783381
,78.74199721
,78.97540562
