LiTMO2,Li2MnO3
12.38234355,18.69569467
12.41317495,18.74248142
18.6192108,20.79927167
18.66580271,20.85143457
24.91229801,21.72367146
24.97508183,21.77820817
31.28276858,24.21301365
31.36235095,24.27398058
36.25608585,28.10757858
36.34914688,28.17872949
36.81577698,32.81748897
36.91037806,32.90119312
37.75411058,36.87477876
37.85130491,36.96954247
38.45284778,36.99956168
38.55198268,37.09466955
41.05816284,37.85717792
41.16460818,37.95465798
44.49305414,37.91367334
44.6093322,38.01131009
44.35307452,38.58467018
44.46894727,38.6841721
48.62405921,38.63963199
48.75249003,38.73928703
51.11093717,42.32641303
51.24687562,42.43646199
53.34270086,42.71144868
53.48551111,42.82259778
58.065279,43.63357228
58.22309213,43.74736803
58.57196201,44.28144025
58.73142495,44.39710573
64.26583708,44.49776783
64.44443778,44.61405955
65.21935676,44.76007299
65.40127775,44.87712535
65.58580887,46.64196778
65.76901535,46.76452031
65.26259239,48.76085573
65.44466477,48.88969562
66.67889537,48.95152339
66.86596825,49.08093418
68.4811821,49.60089949
68.67473792,49.7322612
70.40711983,49.73742861
70.60775951,49.86920179
70.96782928,53.7345188
71.17056301,53.8785493
72.76228698,55.83848618
72.97182274,55.98914322
74.11184369,56.91858209
74.32659978,57.07269123
76.96612056,57.36606584
77.19223297,57.52161556
77.30789563,57.45506561
77.53539799,57.61090258
77.00641681,58.11215433
77.23269276,58.27011975
77.88989394,58.32439847
78.11977863,58.4830543
78.33052506,58.59558772
78.56222654,58.75512779
,58.60010091
,58.75965572
,58.64027578
,58.79996178
,58.93890365
,59.09956653
,60.33209573
,60.49735474
,60.58332941
,60.74942415
,62.61679704
,62.78973688
,62.87678584
,63.05061149
,63.0894753
,63.26402745
,63.29593658
,63.47119554
,64.4570181
,64.63628171
,64.73695441
,64.91719121
,65.44978271
,65.6325114
,65.5768902
,65.76006533
,66.51405385
,66.70054056
,66.67051467
,66.85755772
,68.61503921
,68.80908206
,68.80121169
,68.9959332
,68.84958393
,69.04448203
,68.85643487
,69.05135798
,69.71742673
,69.91551049
,70.20946438
,70.40936935
,70.67337562
,70.87500785
,74.66691032
,74.88384062
,74.90643204
,75.12430556
,75.21026327
,75.42933763
,76.8217576
,77.0472849
,77.09461666
,77.32125087
,77.50756229
,77.73587975
,77.59380757
,77.82247783
,77.67711641
,77.90612785
,77.98059978
,78.21085754
,78.32212322
,78.55378995
,78.42717422
,78.65927572
,78.47499762
,78.70729727
,78.78095221
,79.01452274
